Co-op/Regular,Degree Career,Degree Convocation,Degree Level,Degree Type,Degree Year,Faculty Group,First/All majors,Program Grouping,Visa Status,Number of Degrees
Coop,Graduate,Fall,Master,Degree,2014,ENG,First majors,Management Sciences,International,2
Coop,Graduate,Fall,Master,Degree,2014,MATH,First majors,Computer Science,International,1
Coop,Graduate,Fall,Master,Degree,2014,MATH,First majors,Statistics,Canadian,1
Coop,Graduate,Fall,Master,Degree,2015,ARTS,First majors,Economics,Canadian,1
Coop,Graduate,Fall,Master,Degree,2015,ARTS,First majors,English Language and Literature,Canadian,2
Coop,Graduate,Fall,Master,Degree,2015,ARTS,First majors,Public Service,International,1
Coop,Graduate,Fall,Master,Degree,2015,ARTS,First majors,Public Service,Canadian,1
Coop,Graduate,Fall,Master,Degree,2015,ENG,First majors,Management Sciences,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2015,ENG,First majors,Management Sciences,Canadian,1
Coop,Graduate,Fall,Master,Degree,2015,MATH,First majors,Computer Science,International,6
Coop,Graduate,Fall,Master,Degree,2015,MATH,First majors,Computer Science,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2015,MATH,First majors,Statistics,International,2
Coop,Graduate,Fall,Master,Degree,2016,ARTS,First majors,Economics,Canadian,2
Coop,Graduate,Fall,Master,Degree,2016,ARTS,First majors,English Language and Literature,Canadian,1
Coop,Graduate,Fall,Master,Degree,2016,ARTS,First majors,Political Science,Canadian,1
Coop,Graduate,Fall,Master,Degree,2016,ENG,First majors,Management Sciences,International,2
Coop,Graduate,Fall,Master,Degree,2016,MATH,First majors,Computer Science,International,7
Coop,Graduate,Fall,Master,Degree,2016,MATH,First majors,Statistics,International,2
Coop,Graduate,Fall,Master,Degree,2017,ARTS,First majors,English Language and Literature,Canadian,2
Coop,Graduate,Fall,Master,Degree,2017,MATH,First majors,Computer Science,International,1
Coop,Graduate,Fall,Master,Degree,2017,MATH,First majors,Computer Science,Canadian Permanent Resident,2
Coop,Graduate,Fall,Master,Degree,2017,MATH,First majors,Statistics,International,1
Coop,Graduate,Fall,Master,Degree,2018,ENG,First majors,Architecture,Canadian,1
Coop,Graduate,Fall,Master,Degree,2018,ENG,First majors,Management Sciences,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2018,MATH,First majors,Computer Science,International,10
Coop,Graduate,Fall,Master,Degree,2018,MATH,First majors,Computer Science,Canadian,1
Coop,Graduate,Fall,Master,Degree,2019,ARTS,First majors,English Language and Literature,Canadian,1
Coop,Graduate,Fall,Master,Degree,2019,ARTS,First majors,Political Science,Canadian,3
Coop,Graduate,Fall,Master,Degree,2019,ARTS,First majors,Sociology,Canadian,1
Coop,Graduate,Fall,Master,Degree,2019,ENG,First majors,Architecture,International,1
Coop,Graduate,Fall,Master,Degree,2019,ENG,First majors,Architecture,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2019,ENG,First majors,Management Sciences,International,2
Coop,Graduate,Fall,Master,Degree,2019,ENG,First majors,Management Sciences,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2019,ENG,First majors,Management Sciences,Canadian,1
Coop,Graduate,Fall,Master,Degree,2019,MATH,First majors,Computer Science,International,16
Coop,Graduate,Fall,Master,Degree,2019,MATH,First majors,Computer Science,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2019,MATH,First majors,Computer Science,Canadian,1
Coop,Graduate,Fall,Master,Degree,2020,ARTS,First majors,English Language and Literature,Canadian,2
Coop,Graduate,Fall,Master,Degree,2020,ARTS,First majors,Political Science,Canadian,2
Coop,Graduate,Fall,Master,Degree,2020,ARTS,First majors,Sociology,Canadian,1
Coop,Graduate,Fall,Master,Degree,2020,ENG,First majors,Architecture,International,2
Coop,Graduate,Fall,Master,Degree,2020,ENG,First majors,Architecture,Canadian Permanent Resident,1
Coop,Graduate,Fall,Master,Degree,2020,ENG,First majors,Architecture,Canadian,3
Coop,Graduate,Fall,Master,Degree,2020,ENG,First majors,Management Sciences,International,1
Coop,Graduate,Fall,Master,Degree,2020,ENG,First majors,Mechanical Engineering,International,2
Coop,Graduate,Fall,Master,Degree,2020,ENG,First majors,Mechanical Engineering,Canadian,1
Coop,Graduate,Fall,Master,Degree,2020,MATH,First majors,Computer Science,International,15
Coop,Graduate,Spring,Doctoral,Degree,2011,ARTS,First majors,Applied Economics,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2008,ARTS,First majors,Economics,International,5
Coop,Graduate,Spring,Master,Degree,2008,ARTS,First majors,Economics,Canadian,3
Coop,Graduate,Spring,Master,Degree,2008,ARTS,First majors,English Language and Literature,Canadian,3
Coop,Graduate,Spring,Master,Degree,2008,ARTS,First majors,History,Canadian,1
Coop,Graduate,Spring,Master,Degree,2008,ENG,First majors,Management Sciences,Canadian Permanent Resident,3
Coop,Graduate,Spring,Master,Degree,2008,ENG,First majors,Management Sciences,Canadian,2
Coop,Graduate,Spring,Master,Degree,2008,MATH,First majors,Computer Science,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2008,MATH,First majors,Computer Science,Canadian,1
Coop,Graduate,Spring,Master,Degree,2008,MATH,First majors,Statistics,International,1
Coop,Graduate,Spring,Master,Degree,2008,MATH,First majors,Statistics,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2008,MATH,First majors,Statistics,Canadian,2
Coop,Graduate,Spring,Master,Degree,2009,ARTS,First majors,Economics,International,3
Coop,Graduate,Spring,Master,Degree,2009,ARTS,First majors,Economics,Canadian,3
Coop,Graduate,Spring,Master,Degree,2009,ARTS,First majors,English Language and Literature,Canadian,3
Coop,Graduate,Spring,Master,Degree,2009,ARTS,First majors,Political Science,International,1
Coop,Graduate,Spring,Master,Degree,2009,ENG,First majors,Civil Engineering,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2009,ENG,First majors,Civil Engineering,Canadian,1
Coop,Graduate,Spring,Master,Degree,2009,ENG,First majors,Management Sciences,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2009,ENG,First majors,Management Sciences,Canadian,2
Coop,Graduate,Spring,Master,Degree,2009,MATH,First majors,Statistics,International,1
Coop,Graduate,Spring,Master,Degree,2009,MATH,First majors,Statistics,Canadian,1
Coop,Graduate,Spring,Master,Degree,2010,ARTS,First majors,Economics,Canadian,2
Coop,Graduate,Spring,Master,Degree,2010,ARTS,First majors,English Language and Literature,Canadian,5
Coop,Graduate,Spring,Master,Degree,2010,ENG,First majors,Civil Engineering,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2010,ENG,First majors,Management Sciences,International,1
Coop,Graduate,Spring,Master,Degree,2010,ENG,First majors,Management Sciences,Canadian Permanent Resident,3
Coop,Graduate,Spring,Master,Degree,2010,MATH,First majors,Computer Science,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2011,ARTS,First majors,Economics,Canadian,3
Coop,Graduate,Spring,Master,Degree,2011,ARTS,First majors,English Language and Literature,International,1
Coop,Graduate,Spring,Master,Degree,2011,ARTS,First majors,English Language and Literature,Canadian,3
Coop,Graduate,Spring,Master,Degree,2011,ARTS,First majors,Political Science,Canadian,1
Coop,Graduate,Spring,Master,Degree,2011,ENG,First majors,Management Sciences,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2011,MATH,First majors,Computer Science,Canadian,1
Coop,Graduate,Spring,Master,Degree,2011,MATH,First majors,Statistics,International,1
Coop,Graduate,Spring,Master,Degree,2012,ARTS,First majors,Economics,International,1
Coop,Graduate,Spring,Master,Degree,2012,ARTS,First majors,Economics,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2012,ARTS,First majors,Economics,Canadian,2
Coop,Graduate,Spring,Master,Degree,2012,ARTS,First majors,English Language and Literature,Canadian,4
Coop,Graduate,Spring,Master,Degree,2012,ARTS,First majors,Public Service,Canadian,23
Coop,Graduate,Spring,Master,Degree,2012,ENG,First majors,Management Sciences,International,2
Coop,Graduate,Spring,Master,Degree,2012,ENG,First majors,Management Sciences,Canadian,1
Coop,Graduate,Spring,Master,Degree,2012,MATH,First majors,Computer Science,International,2
Coop,Graduate,Spring,Master,Degree,2012,MATH,First majors,Computer Science,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2012,MATH,First majors,Computer Science,Canadian,1
Coop,Graduate,Spring,Master,Degree,2012,MATH,First majors,Health Informatics,International,1
Coop,Graduate,Spring,Master,Degree,2012,MATH,First majors,Statistics,International,4
Coop,Graduate,Spring,Master,Degree,2013,ARTS,First majors,Economics,International,4
Coop,Graduate,Spring,Master,Degree,2013,ARTS,First majors,English Language and Literature,Canadian,1
Coop,Graduate,Spring,Master,Degree,2013,ARTS,First majors,Public Service,International,4
Coop,Graduate,Spring,Master,Degree,2013,ARTS,First majors,Public Service,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2013,ARTS,First majors,Public Service,Canadian,27
Coop,Graduate,Spring,Master,Degree,2013,ENG,First majors,Chemical Engineering,Canadian,1
Coop,Graduate,Spring,Master,Degree,2013,ENG,First majors,Management Sciences,International,1
Coop,Graduate,Spring,Master,Degree,2013,ENG,First majors,Management Sciences,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2013,MATH,First majors,Computer Science,International,3
Coop,Graduate,Spring,Master,Degree,2013,MATH,First majors,Health Informatics,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2013,MATH,First majors,Health Informatics,Canadian,1
Coop,Graduate,Spring,Master,Degree,2013,MATH,First majors,Statistics,International,3
Coop,Graduate,Spring,Master,Degree,2013,MATH,First majors,Statistics,Canadian,1
Coop,Graduate,Spring,Master,Degree,2014,ARTS,First majors,Economics,Canadian,4
Coop,Graduate,Spring,Master,Degree,2014,ARTS,First majors,English Language and Literature,Canadian,3
Coop,Graduate,Spring,Master,Degree,2014,ARTS,First majors,Political Science,International,1
Coop,Graduate,Spring,Master,Degree,2014,ARTS,First majors,Public Service,International,1
Coop,Graduate,Spring,Master,Degree,2014,ARTS,First majors,Public Service,Canadian,40
Coop,Graduate,Spring,Master,Degree,2014,ENG,First majors,Management Sciences,International,6
Coop,Graduate,Spring,Master,Degree,2014,ENG,First majors,Management Sciences,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2014,MATH,First majors,Combinatorics and Optimization,International,1
Coop,Graduate,Spring,Master,Degree,2014,MATH,First majors,Computer Science,International,1
Coop,Graduate,Spring,Master,Degree,2014,MATH,First majors,Computer Science,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2014,MATH,First majors,Health Informatics,International,1
Coop,Graduate,Spring,Master,Degree,2014,MATH,First majors,Health Informatics,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2014,MATH,First majors,Statistics,International,2
Coop,Graduate,Spring,Master,Degree,2014,MATH,First majors,Statistics,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2014,MATH,First majors,Statistics,Canadian,1
Coop,Graduate,Spring,Master,Degree,2015,ARTS,First majors,Economics,International,3
Coop,Graduate,Spring,Master,Degree,2015,ARTS,First majors,Economics,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2015,ARTS,First majors,Economics,Canadian,6
Coop,Graduate,Spring,Master,Degree,2015,ARTS,First majors,English Language and Literature,Canadian,4
Coop,Graduate,Spring,Master,Degree,2015,ARTS,First majors,Public Service,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2015,ARTS,First majors,Public Service,Canadian,33
Coop,Graduate,Spring,Master,Degree,2015,ENG,First majors,Management Sciences,International,8
Coop,Graduate,Spring,Master,Degree,2015,ENG,First majors,Management Sciences,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2015,MATH,First majors,Computer Science,International,3
Coop,Graduate,Spring,Master,Degree,2015,MATH,First majors,Computer Science,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2015,MATH,First majors,Statistics,International,2
Coop,Graduate,Spring,Master,Degree,2015,MATH,First majors,Statistics,Canadian,1
Coop,Graduate,Spring,Master,Degree,2016,ARTS,First majors,Economics,International,5
Coop,Graduate,Spring,Master,Degree,2016,ARTS,First majors,Economics,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2016,ARTS,First majors,Economics,Canadian,4
Coop,Graduate,Spring,Master,Degree,2016,ARTS,First majors,English Language and Literature,Canadian,7
Coop,Graduate,Spring,Master,Degree,2016,ARTS,First majors,Political Science,International,1
Coop,Graduate,Spring,Master,Degree,2016,ARTS,First majors,Public Service,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2016,ARTS,First majors,Public Service,Canadian,37
Coop,Graduate,Spring,Master,Degree,2016,ENG,First majors,Management Sciences,International,3
Coop,Graduate,Spring,Master,Degree,2016,ENG,First majors,Management Sciences,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2016,MATH,First majors,Computer Science,International,5
Coop,Graduate,Spring,Master,Degree,2016,MATH,First majors,Statistics,International,1
Coop,Graduate,Spring,Master,Degree,2016,MATH,First majors,Statistics,Canadian,2
Coop,Graduate,Spring,Master,Degree,2017,ARTS,First majors,Economics,International,8
Coop,Graduate,Spring,Master,Degree,2017,ARTS,First majors,Economics,Canadian,3
Coop,Graduate,Spring,Master,Degree,2017,ARTS,First majors,English Language and Literature,Canadian,5
Coop,Graduate,Spring,Master,Degree,2017,ARTS,First majors,Political Science,International,1
Coop,Graduate,Spring,Master,Degree,2017,ARTS,First majors,Political Science,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2017,ARTS,First majors,Public Service,Canadian,46
Coop,Graduate,Spring,Master,Degree,2017,ENG,First majors,Management Sciences,International,2
Coop,Graduate,Spring,Master,Degree,2017,MATH,First majors,Computer Science,International,5
Coop,Graduate,Spring,Master,Degree,2017,MATH,First majors,Statistics,International,2
Coop,Graduate,Spring,Master,Degree,2017,MATH,First majors,Statistics,Canadian,1
Coop,Graduate,Spring,Master,Degree,2018,ARTS,First majors,Economics,International,10
Coop,Graduate,Spring,Master,Degree,2018,ARTS,First majors,Economics,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2018,ARTS,First majors,Economics,Canadian,1
Coop,Graduate,Spring,Master,Degree,2018,ARTS,First majors,English Language and Literature,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2018,ARTS,First majors,Public Service,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2018,ARTS,First majors,Public Service,Canadian,52
Coop,Graduate,Spring,Master,Degree,2018,ARTS,First majors,Sociology,Canadian,1
Coop,Graduate,Spring,Master,Degree,2018,ENG,First majors,Architecture,International,1
Coop,Graduate,Spring,Master,Degree,2018,ENG,First majors,Architecture,Canadian,1
Coop,Graduate,Spring,Master,Degree,2018,ENG,First majors,Management Sciences,International,10
Coop,Graduate,Spring,Master,Degree,2018,MATH,First majors,Computer Science,International,11
Coop,Graduate,Spring,Master,Degree,2018,MATH,First majors,Computer Science,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2018,MATH,First majors,Computer Science,Canadian,1
Coop,Graduate,Spring,Master,Degree,2018,MATH,First majors,Statistics,International,4
Coop,Graduate,Spring,Master,Degree,2019,ARTS,First majors,Economics,International,10
Coop,Graduate,Spring,Master,Degree,2019,ARTS,First majors,Economics,Canadian,4
Coop,Graduate,Spring,Master,Degree,2019,ARTS,First majors,English Language and Literature,Canadian,6
Coop,Graduate,Spring,Master,Degree,2019,ARTS,First majors,Political Science,International,2
Coop,Graduate,Spring,Master,Degree,2019,ARTS,First majors,Political Science,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2019,ARTS,First majors,Political Science,Canadian,1
Coop,Graduate,Spring,Master,Degree,2019,ARTS,First majors,Public Service,International,2
Coop,Graduate,Spring,Master,Degree,2019,ARTS,First majors,Public Service,Canadian,50
Coop,Graduate,Spring,Master,Degree,2019,ARTS,First majors,Sociology,Canadian,2
Coop,Graduate,Spring,Master,Degree,2019,ENG,First majors,Architecture,International,5
Coop,Graduate,Spring,Master,Degree,2019,ENG,First majors,Architecture,Canadian,1
Coop,Graduate,Spring,Master,Degree,2019,ENG,First majors,Management Sciences,International,25
Coop,Graduate,Spring,Master,Degree,2019,ENG,First majors,Management Sciences,Canadian Permanent Resident,4
Coop,Graduate,Spring,Master,Degree,2019,MATH,First majors,Computational Mathematics,International,5
Coop,Graduate,Spring,Master,Degree,2019,MATH,First majors,Computational Mathematics,Canadian Permanent Resident,3
Coop,Graduate,Spring,Master,Degree,2019,MATH,First majors,Computational Mathematics,Canadian,1
Coop,Graduate,Spring,Master,Degree,2019,MATH,First majors,Computer Science,International,7
Coop,Graduate,Spring,Master,Degree,2019,MATH,First majors,Statistics,International,3
Coop,Graduate,Spring,Master,Degree,2019,MATH,First majors,Statistics,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,Economics,International,8
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,Economics,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,Economics,Canadian,3
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,English Language and Literature,International,1
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,English Language and Literature,Canadian,3
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,Political Science,International,1
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,Political Science,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,Political Science,Canadian,2
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,Public Service,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2020,ARTS,First majors,Public Service,Canadian,43
Coop,Graduate,Spring,Master,Degree,2020,ENG,First majors,Architecture,International,6
Coop,Graduate,Spring,Master,Degree,2020,ENG,First majors,Architecture,Canadian Permanent Resident,4
Coop,Graduate,Spring,Master,Degree,2020,ENG,First majors,Management Sciences,International,21
Coop,Graduate,Spring,Master,Degree,2020,ENG,First majors,Management Sciences,Canadian Permanent Resident,1
Coop,Graduate,Spring,Master,Degree,2020,ENG,First majors,Mechanical Engineering,International,7
Coop,Graduate,Spring,Master,Degree,2020,ENG,Secondary majors,Mechanical Engineering,International,2
Coop,Graduate,Spring,Master,Degree,2020,MATH,First majors,Computational Mathematics,International,7
Coop,Graduate,Spring,Master,Degree,2020,MATH,First majors,Computational Mathematics,Canadian,2
Coop,Graduate,Spring,Master,Degree,2020,MATH,First majors,Computer Science,International,13
Coop,Graduate,Spring,Master,Degree,2020,MATH,First majors,Computer Science,Canadian Permanent Resident,2
Coop,Graduate,Spring,Master,Degree,2020,MATH,First majors,Computer Science,Canadian,2
Coop,Graduate,Spring,Master,Degree,2020,MATH,First majors,Statistics,International,4
Coop,Graduate,Spring,Master,Degree,2020,MATH,First majors,Statistics,Canadian,3
Coop,Undergraduate,Fall,General Undergraduate,Degree,2008,MATH,First majors,Mathematics,Canadian,4
Coop,Undergraduate,Fall,General Undergraduate,Degree,2009,MATH,First majors,Mathematics,Canadian Permanent Resident,1
Coop,Undergraduate,Fall,General Undergraduate,Degree,2009,MATH,First majors,Mathematics,Canadian,4
Coop,Undergraduate,Fall,General Undergraduate,Degree,2010,MATH,First majors,Mathematics,International,1
Coop,Undergraduate,Fall,General Undergraduate,Degree,2010,MATH,First majors,Mathematics,Canadian Permanent Resident,2
Coop,Undergraduate,Fall,General Undergraduate,Degree,2010,MATH,First majors,Mathematics,Canadian,4
Coop,Undergraduate,Fall,General Undergraduate,Degree,2011,MATH,First majors,Mathematics,Canadian,8
Coop,Undergraduate,Fall,General Undergraduate,Degree,2012,MATH,First majors,Mathematics,Canadian,5
Coop,Undergraduate,Fall,General Undergraduate,Degree,2013,MATH,First majors,Mathematics,Canadian,2
Coop,Undergraduate,Fall,General Undergraduate,Degree,2014,MATH,First majors,Mathematics,Canadian,1
Coop,Undergraduate,Fall,General Undergraduate,Degree,2015,MATH,First majors,Mathematics,Canadian,2
Coop,Undergraduate,Fall,General Undergraduate,Degree,2016,MATH,First majors,Mathematics,Canadian,1
Coop,Undergraduate,Fall,General Undergraduate,Degree,2017,MATH,First majors,Mathematics,Canadian,1
Coop,Undergraduate,Fall,General Undergraduate,Degree,2018,MATH,First majors,Mathematics,International,1
Coop,Undergraduate,Fall,General Undergraduate,Degree,2018,MATH,First majors,Mathematics,Canadian Permanent Resident,1
Coop,Undergraduate,Fall,General Undergraduate,Degree,2018,MATH,First majors,Mathematics,Canadian,5
Coop,Undergraduate,Fall,General Undergraduate,Degree,2019,MATH,First majors,Mathematics,International,1
Coop,Undergraduate,Fall,General Undergraduate,Degree,2020,MATH,First majors,Mathematics,Canadian,3
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,AHS,First majors,Health Studies,Canadian,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,AHS,First majors,Kinesiology,Canadian,3
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,AHS,First majors,Recreation and Leisure Studies,Canadian,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,Economics,No Visa Data,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,Economics,Canadian,5
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,English Language and Literature,International,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,French,Canadian,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,History,Canadian,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,Political Science,Canadian,3
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,Psychology,Canadian Permanent Resident,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,Psychology,Canadian,2
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,Social Development Studies,Canadian,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,First majors,Sociology,Canadian,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,Secondary majors,Arts and Business,No Visa Data,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,Secondary majors,Arts and Business,International,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,Secondary majors,Arts and Business,Canadian,14
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ARTS,Secondary majors,Political Science,No Visa Data,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Architecture,International,3
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Architecture,Canadian Permanent Resident,6
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Architecture,Canadian,53
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Chemical Engineering,Canadian,3
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Civil Engineering,Canadian,3
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Computer Engineering,Canadian,2
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Electrical Engineering,Canadian,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Environmental Engineering,Canadian,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Mechanical Engineering,Canadian,9
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENG,First majors,Systems Design Engineering,Canadian,2
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENV,First majors,Environment and Business,Canadian,3
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENV,First majors,Environment and Resource Studies,Canadian Permanent Resident,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENV,First majors,Environment and Resource Studies,Canadian,2
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,ENV,First majors,Geography,Canadian,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Actuarial Science,International,2
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Actuarial Science,Canadian Permanent Resident,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Actuarial Science,Canadian,18
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Applied Mathematics,Canadian,2
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Business Administration and Mathematics,Canadian Permanent Resident,4
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Business Administration and Mathematics,Canadian,27
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Chartered Professional Accountancy,Canadian Permanent Resident,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Combinatorics and Optimization,Canadian,10
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Computational Mathematics,Canadian Permanent Resident,1
Coop,Undergraduate,Fall,Honours Undergraduate,Degree,2008,MATH,First majors,Computational Mathematics,Canadian,3
